Title,Category,Status
Richaud Petite Bakery,Bakery,
SourAji,Japanese,
Nori Shinn,Sushi,
Nin Hao,Chinese,
lil sweet treat,Candy store,
Bobby Van's,Steak,
Grand Banks,Oyster Bar,
Hani’s bakery + café,Bakery,
Sushi Tokoro the handroll bar,Sushi,
Nudie Jeans Co.,Jeans shop,
On Store NYC Lafayette,Sportswear store,
Lucky Cat,Izakaya,
Naks,Filipino,
BINONDO by Kabisera,Filipino,
Lai Rai,Wine bar,
Apotheke Chinatown,Cocktail bar,
Chicha San Chen,Bubble Tea,
Great NY Noodletown,Chinese,
La Cabra Bakery,Coffee shop,
Carhartt WIP Store New York,Clothing store,
Lili and Cata | Non-toxic Nail Spa,Nail salon,
Industry of All Nations,Clothing store,
Paulie Gee's Slice Shop,Pizza,
Taqueria Ramirez,Mexican,
Bakeri,Bakery,
BAGGU Brooklyn,Fashion accessories store,
Gentle Monster New York,,Temporarily closed
Nudie Jeans Co.,Jeans shop,
WORD,Book store,
70 Greenpoint Ave,,no category (dropped pin?)
Sorate,Tea house,
Sama Street,,Permanently closed
Supermoon Bakehouse,Bakery,
