Title,Category,Status
Tokyo Cream,Dessert shop,
680A 2nd St,La Kalidad,
Golden Sardine,Wine bar,
Hilda's Mart & Bake Shop,Filipino,
Double Black,Coffee shop,
The Laundromat SF,Restaurant,
Pàng,Asian,
Starlite,Bar,
Agrodolce Provisions,Restaurant,
Constance Tea & Matcha,Tea house,
Iggy's Place,Sandwich,
Chīsai Sushi Club,Sushi,
TBD izakaya,Japanese,
Joodooboo,Korean,
Roosters Peruvian Rotisserie,Peruvian,
35316 Ramsgate Rd,,Place no longer exists
Café Thuma,Cafe,
The Dead Fish,Seafood,
Shoji,Bar,
Kolaj,Mediterranean,
Jilli SF,Wine bar,
Chocolate Covered,Chocolate shop,
Daughter Thai Kitchen,Thai,
Valley,Restaurant,
MirrorMe Self-Portrait Photo Studio,Photography studio,
Fournée Bakery,Bakery,
Bake Sum,Bakery,
Alexander's Patisserie,Bakery,
Kuidaore Handroll Bar,Japanese,
Bluegrain Sandwich Market,Restaurant,
Pasta Supply Co,Italian,
Twelvemonth,Restaurant,
Malibu Farm Tiburon,Restaurant,
Saru Handroll Bar,Japanese,
Cultured Pickle Shop,Natural goods store,
Lokma,Turkish,
Routier,Modern French,
Verjus,Wine bar,
SHOWA Le Gourmet Tonkatsu,Tonkatsu restaurant,
Kuma on Valencia,Sushi,
Patio Filipino,Filipino,
Yoki Sushi,Sushi,
Komeya No Bento,Japanese,
True Laurel,Cocktail bar,
Lost Resort,Bar,
Hey Neighbor Cafe,Coffee shop,
Alnico,,Permanently closed
